alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
46,39,50.39483129935392,32,18,0.5625,5.0,0.6111111111111112,0.6111111111111112,5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.4800000000000001
9,2,2.5843503230437905,32,8,0.25,4.0,0.75,0.125,5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.44000000000000006
28,6,7.753050969131372,32,23,0.71875,3.0,0.8695652173913043,0.43478260869565216,5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.32000000000000006
30,9,11.629576453697057,32,23,0.71875,3.0,0.782608695652174,0.34782608695652173,5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.1
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.24000000000000005
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.4000000000000001
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.54
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.30000000000000004
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.5000000000000001
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.5200000000000001
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.30000000000000004
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.3400000000000001
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.4800000000000001
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.4600000000000001
