case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_071,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:51:47,S4_SAFETY_RICH_NAVEEN12_L14,1.0
CASE_072,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:27:37,S4_SAFETY_RICH_NAVEEN12_L49,1.0
CASE_073,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:16:50,S4_SAFETY_RICH_NAVEEN12_L35,1.0
CASE_074,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:42:45,S3_MEDIUM_SOC_WHOLETESTING_L64,1.0
CASE_075,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:24:18,S4_SAFETY_RICH_NAVEEN12_L48,1.0
CASE_076,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:36:45,S3_MEDIUM_SOC_WHOLETESTING_L54,1.0
CASE_077,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:23:00,S5_REAL_TMS_JULY10_L114,8.0
CASE_078,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:30:00,S4_SAFETY_RICH_NAVEEN12_L51,1.0
CASE_079,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:39:33,S4_SAFETY_RICH_NAVEEN12_L59,1.0
CASE_080,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:09:28,S4_SAFETY_RICH_NAVEEN12_L27,1.0
CASE_081,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:40:07,S4_SAFETY_RICH_NAVEEN12_L7,1.0
CASE_082,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:30:05,S3_MEDIUM_SOC_WHOLETESTING_L44,1.0
CASE_083,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:30:32,S1_LOW_SOC_STRESS_L135,21.0
